grid,position
1,1
5,2
7,3
11,4
3,5
13,6
17,7
15,8
2,1
4,2
8,3
3,4
9,5
5,6
6,7
7,8
12,9
11,10
13,11
17,12
14,13
16,14
21,15
19,16
22,17
2,1
4,2
1,3
6,4
5,5
7,6
11,7
8,8
13,9
10,10
12,11
18,12
3,13
16,14
15,15
21,16
22,17
17,18
20,19
1,1
3,2
5,3
4,4
7,5
13,6
12,7
8,8
9,9
19,10
14,11
17,12
22,13
1,1
3,2
4,3
5,4
9,5
7,6
6,7
11,8
10,9
8,10
13,11
2,12
15,13
12,14
17,15
19,16
14,17
3,1
5,2
1,3
9,4
19,5
14,6
13,7
4,8
2,9
7,10
11,11
10,12
8,13
12,14
2,1
8,2
13,3
11,4
6,5
14,6
9,7
19,8
7,9
5,10
20,11
10,12
18,13
2,1
1,2
4,3
10,4
5,5
6,6
9,7
3,8
7,9
13,10
8,11
12,12
11,13
20,14
15,15
19,16
14,17
17,18
18,19
4,1
5,2
16,3
3,4
1,5
6,6
14,7
15,8
20,9
2,10
13,11
12,12
9,13
1,1
17,2
2,3
12,4
3,5
6,6
7,7
9,8
4,9
13,10
5,11
15,12
10,13
16,14
19,15
20,16
14,17
2,1
5,2
6,3
7,4
1,5
10,6
9,7
4,8
8,9
15,10
13,11
12,12
16,13
14,14
18,15
17,16
3,17
19,18
1,1
2,2
3,3
5,4
7,5
6,6
13,7
9,8
8,9
10,10
15,11
14,12
16,13
18,14
11,15
19,16
17,17
2,1
5,2
1,3
6,4
10,5
8,6
9,7
7,8
13,9
3,10
14,11
15,12
18,13
19,14
17,15
11,16
20,17
4,18
1,1
2,2
11,3
8,4
10,5
6,6
15,7
3,8
14,9
17,10
9,11
18,12
7,13
5,14
19,15
13,16
16,17
4,18
20,19
15,1
8,2
2,3
7,4
6,5
9,6
14,7
10,8
12,9
5,10
4,11
17,12
1,13
20,14
3,15
4,1
6,2
2,3
12,4
7,5
9,6
5,7
13,8
16,9
10,10
15,11
1,12
17,13
18,14
14,15
1,1
3,2
2,3
4,4
9,5
11,6
12,7
10,8
6,9
15,10
13,11
17,12
8,13
16,14
14,15
18,16
20,17
1,1
6,2
3,3
7,4
4,5
10,6
5,7
2,8
12,9
8,10
13,11
18,12
17,13
9,14
15,15
20,16
16,17
19,18
1,1
2,2
4,3
3,4
6,5
22,6
12,7
9,8
8,9
13,10
16,11
10,12
7,13
19,14
14,15
11,16
20,17
2,1
4,2
3,3
5,4
1,5
12,6
8,7
11,8
19,9
10,10
22,11
15,12
14,13
17,14
9,15
18,16
16,17
7,18
1,1
2,2
3,3
5,4
4,5
6,6
9,7
7,8
12,9
10,10
11,11
14,12
15,13
22,14
20,15
13,16
1,1
4,2
2,3
5,4
9,5
11,6
8,7
13,8
10,9
12,10
15,11
14,12
20,13
21,14
1,1
2,2
3,3
4,4
8,5
7,6
11,7
16,8
18,9
9,10
10,11
5,12
15,13
13,14
14,15
20,16
21,17
17,18
22,19
1,1
3,2
19,3
22,4
4,5
11,6
2,7
18,8
6,9
7,10
17,11
13,12
1,1
2,2
3,3
4,4
6,5
8,6
9,7
7,8
10,9
17,10
16,11
13,12
20,13
21,14
22,15
14,16
19,17
3,1
1,2
2,3
4,4
7,5
5,6
10,7
12,8
9,9
11,10
13,11
14,12
16,13
18,14
6,15
22,16
21,17
2,1
3,2
1,3
5,4
4,5
9,6
7,7
8,8
14,9
18,10
12,11
17,12
13,13
21,14
22,15
16,16
2,1
3,2
6,3
12,4
20,5
4,6
5,7
7,8
10,9
13,10
14,11
15,12
8,13
1,1
3,2
2,3
6,4
7,5
5,6
4,7
11,8
9,9
8,10
10,11
13,12
14,13
12,14
19,15
20,16
21,17
18,18
1,1
3,2
4,3
6,4
2,5
7,6
8,7
5,8
10,9
13,10
14,11
16,12
21,13
11,14
15,15
9,16
22,17
17,18
18,19
20,20
19,21
1,1
2,2
5,3
4,4
6,5
8,6
7,7
10,8
11,9
12,10
9,11
15,12
13,13
14,14
18,15
17,16
19,17
16,18
21,19
22,20
1,1
2,2
3,3
4,4
6,5
5,6
7,7
9,8
14,9
10,10
8,11
13,12
17,13
19,14
18,15
20,16
21,17
1,1
11,2
3,3
12,4
10,5
4,6
9,7
20,8
14,9
17,10
6,11
22,12
13,13
5,14
21,15
2,1
4,2
3,3
17,4
10,5
11,6
8,7
5,8
13,9
7,10
18,11
19,12
12,13
20,14
16,15
15,16
22,17
3,1
1,2
4,3
10,4
7,5
6,6
2,7
8,8
9,9
19,10
15,11
18,12
14,13
20,14
4,1
1,2
22,3
3,4
5,5
7,6
12,7
8,8
2,9
13,10
15,11
10,12
16,13
17,14
6,15
14,16
19,17
20,18
1,1
7,2
2,3
5,4
21,5
14,6
10,7
22,8
9,9
20,10
13,11
15,12
16,13
17,14
3,1
4,2
6,3
8,4
2,5
19,6
16,7
11,8
18,9
1,10
17,11
21,12
22,13
1,1
5,2
7,3
4,4
8,5
10,6
2,7
11,8
6,9
3,10
13,11
12,12
15,13
16,14
18,15
19,16
2,1
1,2
3,3
5,4
4,5
11,6
22,7
9,8
7,9
13,10
17,11
18,12
16,13
1,1
3,2
2,3
4,4
9,5
8,6
5,7
10,8
11,9
7,10
13,11
22,12
14,13
21,14
15,15
17,16
19,17
1,1
4,2
7,3
5,4
22,5
9,6
15,7
10,8
21,9
12,10
13,11
16,12
18,13
14,14
17,15
20,16
6,17
1,1
3,2
2,3
5,4
4,5
8,6
9,7
10,8
12,9
6,10
22,11
11,12
13,13
14,14
18,15
16,16
20,17
21,18
1,1
5,2
3,3
2,4
10,5
4,6
13,7
22,8
8,9
17,10
12,11
16,12
15,13
18,14
20,15
1,1
2,2
3,3
22,4
5,5
4,6
17,7
20,8
21,9
1,1
3,2
2,3
5,4
6,5
7,6
8,7
11,8
9,9
14,10
16,11
12,12
22,13
18,14
15,15
20,16
2,1
3,2
1,3
4,4
7,5
5,6
20,7
12,8
8,9
16,10
10,11
19,12
14,1
4,2
10,3
3,4
12,5
6,6
2,7
11,8
16,9
22,10
20,11
8,12
19,13
1,1
3,2
2,3
6,4
11,5
4,6
15,7
13,8
12,9
9,10
10,11
8,12
17,13
5,14
16,15
2,1
1,2
6,3
9,4
5,5
8,6
11,7
3,8
4,9
19,10
16,11
14,12
15,13
17,14
13,15
21,16
18,17
6,1
1,2
2,3
4,4
7,5
3,6
8,7
14,8
12,9
13,10
15,11
10,12
9,13
11,14
22,15
19,16
5,1
1,2
6,3
7,4
11,5
4,6
3,7
9,8
12,9
10,10
13,11
8,12
18,13
15,14
20,15
21,16
22,17
19,18
1,1
4,2
14,3
10,4
2,5
6,6
5,7
12,8
9,9
19,10
16,11
22,12
15,13
17,14
21,15
20,16
8,17
1,1
11,2
13,3
5,4
3,5
9,6
6,7
10,8
2,9
18,10
15,12
4,13
12,15
14,16
16,17
1,1
2,2
10,3
11,4
5,5
8,6
13,7
7,8
6,9
14,10
17,11
18,12
19,13
1,1
3,2
9,3
6,4
8,5
5,6
12,7
14,8
20,9
16,10
15,11
19,12
18,13
2,1
13,2
7,3
11,4
5,5
8,6
4,7
15,8
10,9
18,10
14,11
16,12
17,13
1,1
3,2
5,3
4,4
6,5
2,6
7,7
9,8
16,9
17,10
10,11
18,12
13,13
1,1
6,2
3,3
2,4
16,5
18,6
8,7
10,8
11,9
5,10
9,11
4,12
15,13
14,14
6,1
1,2
7,3
12,4
10,5
9,6
5,7
4,8
14,9
13,10
2,11
16,12
15,13
11,14
17,15
19,16
20,17
18,18
7,1
2,2
20,3
11,4
14,5
10,6
12,7
16,8
8,9
18,10
15,11
5,1
7,2
17,3
19,4
18,5
20,6
1,1
13,2
3,3
7,4
2,5
6,6
11,7
10,8
5,9
15,10
4,11
12,12
19,13
14,14
17,15
3,1
1,2
12,3
6,4
2,5
9,6
5,7
8,8
4,9
16,10
11,11
14,12
13,13
10,14
15,15
7,16
20,17
18,18
19,19
3,1
20,2
2,3
4,4
5,5
12,6
11,7
13,8
